文本,情感指数,情感
楼主,0.5517570736126622,积极
如何评价,0.4279835390946498,消极
评论,0.3913043478260875,消极
我跟别人也许按不到同一个楼层但我们所有人一定能接触到这个东西,0.6347721450275157,积极
本来病毒散布在几十个按键上现在好了都集中在握把上,0.7335238471225269,积极
全楼每个人都单独安装一个是吧,0.7292985442190526,积极
怎么评价傻呗魔怔了本来人只按自己的楼层和开关门现在都去摸那个东西意义在哪,0.5296604607135915,中性
本来可以均匀分布在每个按键上现在全在那根棍儿上了感染几率获得了大幅提升,0.8442738562916474,积极
弱智吧需要这种人才,0.1221426390200756,消极
这个神器得卖多少钱推广开来就是一条产业链啊,0.17362119650321428,消极
你确定这东西不是弱智吧搞出来的,0.015312750911370965,消极
还好我都是用去按电梯,0.4915400189008131,中性
往弱智吧里发,0.19948169593886,消极
楼主,0.5517570736126622,积极
东方古城文化保护,0.4201379407099963,消极
评论,0.3913043478260875,消极
这哪啊,0.5262327818078083,中性
几楼,0.8,积极
拆啦,0.4111111111111113,消极
中山桥是吧,0.8293154273803746,积极
这也能黑真是啊,0.5189917346603732,中性
介不系兰州,0.8876752915215684,积极
水咋是红的,0.3762786993348154,消极
保护的多好你看这水气色红润,0.8871596833904194,积极
魔怔了,0.9386694771799367,积极
莫症了,0.5,中性
这也能黑真是啊,0.5189917346603732,中性
脑子有问题,0.3157894736842105,消极
楼主,0.5517570736126622,积极
哈哈新的吉祥物,0.621737452494934,积极
评论,0.3913043478260875,消极
赢,0.692307692307692,积极
单机贴吧,0.3732079571559114,消极
哈喇,0.5,中性
成天弄点垃圾在自己锅里炫外面人都在骂,0.5930817215350891,积极
赢了,0.692307692307692,积极
总能从奇怪的角度让自己赢,0.7141666298104624,积极
狠造便宜劳动力就完了,0.8947433268761529,积极
廉价劳动力,0.31041609369117307,消极
第一眼看到这个吉祥物我去阿飘,0.8177478444587846,积极
建议再报道一下生产工人的工资捏,0.2772047469497263,消极
楼主,0.5517570736126622,积极
抖音现在这么勇的吗,0.4597709049358891,消极
评论,0.3913043478260875,消极
以前还真没发现,0.30850375891649506,消极
看来大家都被铁拳砸过不买账了,0.24069834601994744,消极
我不敢说话,0.13680097961610893,消极
楼主,0.5517570736126622,积极
大的来啦来啦,0.5319597284008428,积极
评论,0.3913043478260875,消极
楼主,0.5517570736126622,积极
